EmployeeID,EmployeeCode,Gender,Age,Department,JobRole,MonthlySalary,HireDate,YearsAtCompany,PerformanceRating,JobSatisfaction,Attrition,Education,Overtime,City
39,EMP0039,Male,48,Marketing,Marketing Specialist,16373,2017-03-07,9,5,5,No,Master,No,Gdansk
40,EMP0040,Male,26,Operations,Coordinator,8149,2009-12-03,16,5,5,No,Bachelor,Yes,Ternopil
41,EMP0041,Male,36,IT,Data Analyst,11284,2022-07-18,4,5,1,No,Master,Yes,Gdansk
42,EMP0042,Male,27,Finance,Financial Analyst,16253,2019-05-17,7,4,2,No,High School,No,Kyiv
43,EMP0043,Male,50,Marketing,Marketing Specialist,14437,2022-12-09,3,5,5,No,Master,No,Gdansk
44,EMP0044,Female,37,Marketing,Marketing Specialist,15817,2020-11-29,5,2,3,No,Master,Yes,Ternopil
45,EMP0045,Female,42,Finance,Accountant,8738,2017-04-02,9,5,1,No,Bachelor,Yes,Gdansk
46,EMP0046,Female,47,Operations,Coordinator,8921,2020-06-28,6,5,4,No,Bachelor,Yes,Gdansk
47,EMP0047,Female,21,Finance,Accountant,9263,2008-01-21,18,3,4,No,High School,Yes,Gdansk
48,EMP0048,Male,45,IT,BI Developer,9007,2012-11-26,13,4,2,No,Bachelor,Yes,Gdansk
49,EMP0049,Female,29,Marketing,Marketing Specialist,17702,2023-09-04,2,4,2,Yes,Master,No,Ternopil
50,EMP0050,Female,38,IT,BI Developer,15820,2016-02-10,10,4,3,Yes,Master,Yes,Kyiv
51,EMP0051,Male,22,HR,HR Specialist,7551,2006-06-29,20,2,1,No,Bachelor,Yes,Lviv
52,EMP0052,Female,37,Finance,Accountant,16064,2008-04-13,18,3,2,No,High School,Yes,Lviv
53,EMP0053,Female,57,HR,HR Specialist,14597,2008-07-20,18,4,4,No,Bachelor,Yes,Kyiv
54,EMP0054,Male,43,Operations,Coordinator,12228,2007-06-03,19,4,3,Yes,High School,No,Kyiv
55,EMP0055,Female,50,Finance,Financial Analyst,15088,2022-12-21,3,2,4,No,High School,No,Gdansk
56,EMP0056,Female,36,Finance,Financial Analyst,17110,2008-03-18,18,1,3,No,Bachelor,No,Gdansk
57,EMP0057,Male,52,HR,HR Specialist,6975,2011-02-17,15,3,3,No,Master,No,Kyiv
58,EMP0058,Female,52,Marketing,Marketing Specialist,12596,2024-03-28,2,2,4,No,Master,Yes,Kyiv
59,EMP0059,Male,40,HR,HR Specialist,14378,2013-08-12,12,5,3,No,High School,No,Gdansk
60,EMP0060,Female,38,Operations,Coordinator,8523,2014-08-07,11,3,2,Yes,High School,Yes,Ternopil
61,EMP0061,Female,38,Sales,Sales Rep,15371,2020-04-11,6,5,5,No,Master,Yes,Lviv
62,EMP0062,Female,21,HR,HR Specialist,15100,2015-05-02,11,5,2,No,Bachelor,Yes,Ternopil
63,EMP0063,Male,21,Operations,Coordinator,12905,2005-11-25,20,3,4,No,Master,No,Lviv
64,EMP0064,Male,46,Sales,Sales Manager,11556,2011-06-05,15,1,5,Yes,Bachelor,Yes,Ternopil
65,EMP0065,Female,59,Sales,Sales Rep,13266,2022-10-18,3,5,2,No,Master,No,Gdansk
66,EMP0066,Male,60,HR,HR Specialist,15625,2016-10-13,9,1,2,No,Master,Yes,Lviv
67,EMP0067,Male,21,IT,Data Analyst,10193,2009-06-25,17,4,5,No,Master,Yes,Lviv
68,EMP0068,Male,37,HR,HR Specialist,16407,2012-06-26,14,5,2,No,Bachelor,Yes,Lviv
69,EMP0069,Male,40,HR,HR Specialist,13249,2024-06-29,2,5,3,No,Bachelor,No,Ternopil
70,EMP0070,Female,49,Operations,Coordinator,4817,2017-11-17,8,5,1,No,High School,No,Ternopil
71,EMP0071,Male,38,Sales,Sales Rep,12941,2018-08-20,7,1,2,No,High School,No,Ternopil
72,EMP0072,Female,26,IT,Support,11200,2012-09-10,13,3,4,No,Master,Yes,Lviv
73,EMP0073,Female,56,HR,HR Specialist,4101,2011-03-08,15,4,1,No,Master,No,Kyiv
74,EMP0074,Female,24,Finance,Accountant,6573,2008-12-09,17,5,3,No,Master,No,Kyiv
75,EMP0075,Female,49,IT,BI Developer,17931,2009-05-27,17,4,1,Yes,High School,Yes,Lviv
76,EMP0076,Male,35,HR,HR Specialist,17285,2009-01-06,17,1,4,Yes,High School,Yes,Gdansk
77,EMP0077,Female,47,Operations,Coordinator,17176,2009-08-06,16,4,4,No,Master,Yes,Gdansk
78,EMP0078,Male,38,IT,Support,16159,2010-05-25,16,4,3,No,Master,Yes,Ternopil
79,EMP0079,Female,30,Operations,Coordinator,10816,2007-10-11,18,5,4,No,Master,No,Gdansk
80,EMP0080,Female,35,HR,HR Specialist,17524,2018-10-12,7,4,1,No,High School,No,Gdansk
81,EMP0081,Male,53,Finance,Accountant,13169,2011-07-15,15,3,1,No,Bachelor,No,Kyiv
82,EMP0082,Male,25,Operations,Coordinator,11192,2012-08-31,13,3,3,No,High School,No,Kyiv
83,EMP0083,Female,55,HR,HR Specialist,4088,2015-09-15,10,5,1,No,High School,No,Lviv
84,EMP0084,Male,49,Operations,Coordinator,6225,2013-06-12,13,3,1,Yes,Master,Yes,Ternopil
85,EMP0085,Male,54,HR,HR Specialist,10251,2013-05-19,13,5,2,No,Bachelor,Yes,Gdansk
86,EMP0086,Male,35,Marketing,Marketing Specialist,11055,2010-10-08,15,3,4,No,High School,Yes,Gdansk
87,EMP0087,Female,58,HR,HR Specialist,8401,2023-12-16,2,4,3,No,Master,Yes,Gdansk
88,EMP0088,Female,57,Finance,Accountant,8347,2019-01-17,7,3,1,No,Master,Yes,Kyiv
89,EMP0089,Female,35,Marketing,Marketing Specialist,13930,2017-04-05,9,2,5,No,High School,Yes,Kyiv
90,EMP0090,Male,58,Operations,Coordinator,9477,2016-12-18,9,2,1,No,Master,No,Lviv
91,EMP0091,Female,31,IT,Data Analyst,7710,2009-01-27,17,4,3,No,Bachelor,No,Kyiv
92,EMP0092,Female,26,IT,Data Analyst,16454,2013-10-20,12,4,1,No,High School,Yes,Gdansk
93,EMP0093,Female,27,HR,HR Specialist,14556,2008-01-20,18,2,4,Yes,High School,No,Lviv
94,EMP0094,Female,47,Operations,Coordinator,5411,2005-12-09,20,2,1,Yes,Master,No,Kyiv
95,EMP0095,Female,50,Sales,Sales Rep,9578,2009-05-25,17,5,4,No,High School,Yes,Gdansk
96,EMP0096,Female,38,Operations,Coordinator,4036,2010-09-21,15,3,2,No,Master,Yes,Ternopil
97,EMP0097,Female,24,Sales,Sales Manager,10023,2008-09-06,17,3,2,Yes,Master,Yes,Lviv
98,EMP0098,Male,29,Operations,Coordinator,16393,2025-02-09,1,5,2,Yes,High School,Yes,Lviv
99,EMP0099,Male,38,IT,BI Developer,17564,2021-09-28,4,2,2,No,Master,Yes,Kyiv
100,EMP0100,Female,36,Operations,Coordinator,13147,2022-07-23,4,3,1,No,Master,Yes,Lviv
101,EMP0101,Male,51,Operations,Coordinator,10844,2010-06-05,16,3,5,No,Bachelor,No,Lviv
102,EMP0102,Female,22,Marketing,Marketing Specialist,4496,2010-03-01,16,4,4,No,High School,Yes,Gdansk
103,EMP0103,Female,59,Operations,Coordinator,5930,2024-06-18,2,1,2,No,High School,No,Gdansk
104,EMP0104,Female,27,Marketing,Marketing Specialist,16494,2011-11-17,14,1,5,No,Master,No,Lviv
105,EMP0105,Female,27,Finance,Financial Analyst,8620,2012-01-10,14,4,3,No,Master,Yes,Gdansk
106,EMP0106,Female,27,Sales,Sales Rep,15699,2024-06-12,2,3,2,No,Bachelor,No,Kyiv
107,EMP0107,Female,59,Finance,Financial Analyst,8619,2013-07-06,13,3,1,No,High School,Yes,Lviv
108,EMP0108,Female,56,Operations,Coordinator,9522,2019-06-06,7,1,3,No,Bachelor,No,Kyiv
109,EMP0109,Female,40,Marketing,Marketing Specialist,9067,2026-04-28,0,3,1,No,Bachelor,No,Kyiv
110,EMP0110,Male,54,IT,Support,7024,2006-07-19,20,4,4,No,Master,Yes,Ternopil
111,EMP0111,Male,24,HR,HR Specialist,6049,2007-10-02,18,2,5,Yes,High School,Yes,Ternopil
112,EMP0112,Female,47,Finance,Financial Analyst,7975,2010-09-26,15,2,5,Yes,Master,No,Kyiv
113,EMP0113,Female,23,HR,HR Specialist,7112,2009-08-26,16,4,5,Yes,Bachelor,Yes,Ternopil
114,EMP0114,Female,28,IT,Data Analyst,3626,2018-03-05,8,4,4,No,Bachelor,No,Lviv
115,EMP0115,Male,48,Marketing,Marketing Specialist,3807,2024-01-08,2,4,1,No,High School,No,Gdansk
116,EMP0116,Female,22,Operations,Coordinator,8821,2017-06-03,9,2,5,No,High School,No,Kyiv
117,EMP0117,Female,54,Finance,Accountant,4788,2018-12-20,7,4,3,No,Bachelor,No,Lviv
118,EMP0118,Male,43,Sales,Sales Rep,9252,2009-11-14,16,2,2,Yes,Bachelor,No,Lviv
119,EMP0119,Male,32,IT,Support,16162,2021-08-29,4,4,4,No,High School,No,Ternopil
120,EMP0120,Male,51,Operations,Coordinator,10745,2021-12-17,4,3,3,No,Bachelor,No,Kyiv
121,EMP0121,Male,44,HR,HR Specialist,17126,2012-07-13,14,3,1,Yes,High School,No,Gdansk
122,EMP0122,Male,41,Marketing,Marketing Specialist,13412,2011-10-14,14,4,5,No,Bachelor,No,Kyiv
123,EMP0123,Male,23,HR,HR Specialist,7559,2009-09-06,16,4,4,No,High School,Yes,Ternopil
124,EMP0124,Female,59,HR,HR Specialist,4357,2014-01-04,12,3,1,No,Bachelor,No,Ternopil
125,EMP0125,Male,43,HR,HR Specialist,8582,2016-06-20,10,4,2,No,High School,Yes,Ternopil
126,EMP0126,Male,54,Marketing,Marketing Specialist,5031,2006-02-16,20,4,5,No,Bachelor,No,Ternopil
127,EMP0127,Male,35,IT,Data Analyst,5753,2015-11-26,10,2,1,No,Bachelor,Yes,Ternopil
128,EMP0128,Male,31,Marketing,Marketing Specialist,6462,2007-01-23,19,5,2,No,Bachelor,No,Ternopil
129,EMP0129,Female,49,Operations,Coordinator,7333,2011-09-24,14,5,2,No,Master,Yes,Ternopil
130,EMP0130,Female,53,Operations,Coordinator,12141,2012-03-10,14,4,2,No,High School,Yes,Ternopil
131,EMP0131,Male,54,Sales,Sales Manager,17445,2014-10-22,11,1,3,Yes,Bachelor,No,Gdansk
132,EMP0132,Male,49,Marketing,Marketing Specialist,17993,2013-06-16,13,3,1,No,Bachelor,No,Ternopil
133,EMP0133,Male,22,IT,BI Developer,8721,2024-01-20,2,1,3,No,Bachelor,Yes,Ternopil
134,EMP0134,Male,26,Finance,Accountant,3811,2010-12-16,15,3,2,No,High School,No,Kyiv
135,EMP0135,Male,36,HR,HR Specialist,10378,2017-05-30,9,5,4,Yes,Bachelor,No,Kyiv
136,EMP0136,Female,21,Operations,Coordinator,13573,2022-03-03,4,3,2,No,Master,Yes,Kyiv
137,EMP0137,Male,45,Marketing,Marketing Specialist,17808,2023-11-03,2,4,1,No,Master,No,Kyiv
138,EMP0138,Male,58,HR,HR Specialist,15545,2015-03-31,11,3,2,Yes,Master,No,Lviv
139,EMP0139,Male,29,Operations,Coordinator,4533,2010-09-13,15,4,1,No,Bachelor,Yes,Lviv
140,EMP0140,Female,55,Sales,Sales Manager,11256,2016-11-10,9,3,1,No,Master,No,Kyiv
141,EMP0141,Female,48,Operations,Coordinator,10053,2018-05-29,8,4,4,No,Bachelor,No,Gdansk
142,EMP0142,Male,48,HR,HR Specialist,13370,2023-12-25,2,2,5,No,Master,Yes,Kyiv
143,EMP0143,Female,31,HR,HR Specialist,14801,2016-12-15,9,4,3,No,Bachelor,No,Gdansk
144,EMP0144,Female,44,HR,HR Specialist,11906,2023-08-21,2,2,1,No,High School,No,Kyiv
145,EMP0145,Female,44,IT,Data Analyst,9772,2018-09-04,7,5,1,No,Bachelor,No,Ternopil
146,EMP0146,Male,54,HR,HR Specialist,9512,2023-10-10,2,4,3,No,Bachelor,Yes,Kyiv
147,EMP0147,Female,56,Operations,Coordinator,5429,2010-11-10,15,3,3,No,Bachelor,No,Gdansk
148,EMP0148,Female,32,IT,Data Analyst,15187,2022-06-23,4,4,1,No,High School,No,Kyiv
149,EMP0149,Male,44,Marketing,Marketing Specialist,11835,2017-05-12,9,2,1,No,Bachelor,Yes,Gdansk
150,EMP0150,Female,50,Sales,Sales Manager,16667,2008-10-13,17,5,2,No,Bachelor,Yes,Ternopil
151,EMP0151,Female,57,Finance,Financial Analyst,4708,2010-01-04,16,2,3,Yes,Master,No,Ternopil
152,EMP0152,Male,29,IT,Support,10588,2005-10-07,20,5,1,Yes,High School,Yes,Ternopil
153,EMP0153,Male,43,IT,Data Analyst,12001,2015-08-03,10,3,1,No,Bachelor,No,Lviv
154,EMP0154,Male,53,Operations,Coordinator,14001,2006-11-03,19,2,5,No,Bachelor,Yes,Ternopil
155,EMP0155,Male,57,Marketing,Marketing Specialist,7836,2026-06-18,0,2,5,No,High School,Yes,Gdansk
156,EMP0156,Female,36,Operations,Coordinator,16684,2006-03-02,20,4,3,No,Bachelor,Yes,Lviv
157,EMP0157,Male,42,Finance,Financial Analyst,13439,2010-12-08,15,2,3,No,High School,No,Gdansk
158,EMP0158,Male,41,IT,BI Developer,7460,2009-10-19,16,4,1,No,Master,Yes,Lviv
159,EMP0159,Female,36,Sales,Sales Rep,17677,2017-01-16,9,2,3,No,High School,No,Lviv
160,EMP0160,Female,40,IT,BI Developer,11648,2009-12-06,16,1,1,No,High School,No,Lviv
161,EMP0161,Male,39,IT,Support,11608,2015-07-08,11,5,4,No,High School,Yes,Kyiv
162,EMP0162,Female,44,Finance,Accountant,4241,2018-01-25,8,4,1,No,High School,Yes,Ternopil
163,EMP0163,Female,56,Marketing,Marketing Specialist,8082,2024-01-14,2,5,5,Yes,Bachelor,Yes,Gdansk
164,EMP0164,Male,33,HR,HR Specialist,13370,2009-01-27,17,5,4,No,Bachelor,Yes,Kyiv
165,EMP0165,Female,30,IT,Support,13432,2015-12-02,10,5,2,No,High School,No,Lviv
166,EMP0166,Female,57,Finance,Financial Analyst,8411,2008-02-12,18,4,1,No,Master,Yes,Gdansk
167,EMP0167,Female,37,Marketing,Marketing Specialist,14241,2006-07-21,20,5,5,No,High School,Yes,Gdansk
168,EMP0168,Female,30,IT,Support,16962,2005-09-20,20,2,1,No,High School,Yes,Lviv
169,EMP0169,Male,47,Sales,Sales Manager,14813,2015-12-30,10,2,4,No,High School,No,Kyiv
170,EMP0170,Female,51,Operations,Coordinator,12109,2010-04-18,16,4,3,No,Master,No,Ternopil
171,EMP0171,Male,36,Operations,Coordinator,8071,2006-11-29,19,5,3,No,Master,No,Lviv
172,EMP0172,Female,56,Operations,Coordinator,16531,2015-11-29,10,3,3,Yes,High School,No,Gdansk
173,EMP0173,Female,26,HR,HR Specialist,9174,2017-07-10,9,4,3,No,Bachelor,Yes,Ternopil
174,EMP0174,Male,36,Marketing,Marketing Specialist,4331,2022-06-05,4,5,2,No,Bachelor,Yes,Gdansk
175,EMP0175,Male,21,HR,HR Specialist,12516,2022-08-16,3,2,4,No,Master,Yes,Ternopil
176,EMP0176,Male,57,HR,HR Specialist,7304,2006-07-04,20,5,1,No,Master,Yes,Kyiv
177,EMP0177,Male,21,Finance,Financial Analyst,8388,2021-03-04,5,5,5,Yes,Master,No,Gdansk
178,EMP0178,Female,38,Operations,Coordinator,6659,2021-11-14,4,1,3,No,High School,No,Ternopil
179,EMP0179,Female,57,Operations,Coordinator,14549,2026-02-07,0,2,2,No,High School,No,Gdansk
180,EMP0180,Male,32,Marketing,Marketing Specialist,5803,2024-01-06,2,4,3,No,Bachelor,No,Gdansk
181,EMP0181,Female,58,IT,BI Developer,15343,2018-02-13,8,5,1,No,High School,No,Lviv
182,EMP0182,Male,46,Sales,Sales Rep,14740,2012-02-26,14,5,3,Yes,High School,No,Ternopil
183,EMP0183,Female,30,Marketing,Marketing Specialist,10954,2019-05-24,7,5,3,No,High School,No,Lviv
184,EMP0184,Female,54,IT,Support,15030,2007-06-23,19,3,1,No,Bachelor,Yes,Lviv
185,EMP0185,Female,28,Marketing,Marketing Specialist,14645,2021-02-13,5,2,5,No,Bachelor,No,Kyiv
186,EMP0186,Female,57,Finance,Accountant,4445,2010-01-02,16,5,4,No,High School,Yes,Gdansk
187,EMP0187,Male,23,HR,HR Specialist,10441,2019-10-08,6,3,1,No,Bachelor,Yes,Gdansk
188,EMP0188,Male,47,Sales,Sales Manager,9635,2013-05-01,13,4,4,No,Master,Yes,Lviv
189,EMP0189,Female,54,Operations,Coordinator,5586,2023-04-30,3,2,1,Yes,Master,No,Gdansk
190,EMP0190,Female,43,Marketing,Marketing Specialist,6041,2019-03-27,7,3,2,Yes,Bachelor,No,Kyiv
191,EMP0191,Male,49,IT,Data Analyst,13294,2024-06-08,2,1,2,Yes,Master,No,Lviv
192,EMP0192,Female,35,Marketing,Marketing Specialist,16865,2025-05-19,1,5,3,No,High School,No,Lviv
193,EMP0193,Female,40,HR,HR Specialist,8008,2010-04-11,16,1,5,No,High School,Yes,Gdansk
194,EMP0194,Female,54,Marketing,Marketing Specialist,8722,2025-02-03,1,4,4,No,Master,No,Lviv
195,EMP0195,Female,30,Marketing,Marketing Specialist,16701,2019-04-07,7,4,1,No,Master,No,Lviv
196,EMP0196,Female,26,Finance,Accountant,10869,2018-04-18,8,3,1,No,High School,Yes,Kyiv
197,EMP0197,Male,25,HR,HR Specialist,6582,2006-09-29,19,5,5,No,Master,Yes,Ternopil
198,EMP0198,Male,51,HR,HR Specialist,7474,2020-04-24,6,5,2,No,Bachelor,No,Ternopil
199,EMP0199,Female,40,Finance,Financial Analyst,7785,2008-09-04,17,3,5,No,Master,Yes,Gdansk
200,EMP0200,Female,23,HR,HR Specialist,12716,2015-02-22,11,2,2,Yes,Master,No,Ternopil
201,EMP0201,Female,57,IT,Data Analyst,17153,2016-04-05,10,2,4,No,High School,No,Ternopil
202,EMP0202,Female,31,Finance,Financial Analyst,5793,2012-05-07,14,5,4,No,High School,Yes,Kyiv
203,EMP0203,Male,35,Sales,Sales Rep,4613,2025-12-30,0,2,1,No,High School,No,Ternopil
204,EMP0204,Male,55,Sales,Sales Manager,12538,2011-07-25,15,4,1,Yes,High School,No,Ternopil
205,EMP0205,Male,54,Sales,Sales Manager,5939,2021-06-06,5,2,2,No,High School,No,Ternopil
206,EMP0206,Female,50,HR,HR Specialist,12756,2024-01-20,2,2,2,No,High School,Yes,Kyiv
207,EMP0207,Female,24,Sales,Sales Manager,13932,2014-01-20,12,1,2,Yes,Master,No,Ternopil
208,EMP0208,Male,34,Marketing,Marketing Specialist,17723,2010-07-12,16,5,4,No,Bachelor,Yes,Ternopil
209,EMP0209,Male,34,Marketing,Marketing Specialist,13117,2021-02-19,5,2,4,Yes,Master,Yes,Lviv
210,EMP0210,Female,29,Marketing,Marketing Specialist,16451,2009-02-14,17,1,5,No,Bachelor,Yes,Gdansk
211,EMP0211,Female,41,IT,Data Analyst,3985,2015-09-26,10,3,4,No,Bachelor,No,Gdansk
212,EMP0212,Female,26,Finance,Accountant,16151,2007-08-30,18,5,3,No,High School,Yes,Kyiv
213,EMP0213,Male,45,HR,HR Specialist,8688,2013-08-02,12,3,1,Yes,Bachelor,No,Gdansk
214,EMP0214,Male,32,HR,HR Specialist,10561,2023-05-24,3,4,5,No,High School,No,Kyiv
215,EMP0215,Male,59,Sales,Sales Rep,13298,2014-10-22,11,3,4,Yes,Master,No,Gdansk
216,EMP0216,Male,45,Sales,Sales Rep,6277,2007-11-10,18,2,3,No,Master,No,Lviv
217,EMP0217,Female,40,Sales,Sales Rep,11433,2013-03-13,13,1,3,No,Bachelor,No,Lviv
218,EMP0218,Male,46,Finance,Accountant,8943,2022-02-25,4,5,4,No,Master,No,Gdansk
219,EMP0219,Male,51,Operations,Coordinator,8647,2017-02-17,9,2,4,No,Master,No,Lviv
220,EMP0220,Female,28,HR,HR Specialist,12738,2018-01-11,8,2,5,No,Bachelor,Yes,Gdansk
221,EMP0221,Male,47,Operations,Coordinator,14526,2012-03-05,14,4,2,No,Bachelor,No,Lviv
222,EMP0222,Female,59,Operations,Coordinator,11351,2014-06-25,12,5,4,No,High School,No,Kyiv
223,EMP0223,Female,31,HR,HR Specialist,14100,2023-03-25,3,5,1,No,High School,No,Ternopil
224,EMP0224,Female,35,Finance,Accountant,11866,2026-06-09,0,5,5,No,High School,Yes,Gdansk
225,EMP0225,Male,43,HR,HR Specialist,3902,2011-08-20,14,4,1,No,Master,Yes,Kyiv
226,EMP0226,Female,50,Operations,Coordinator,16349,2015-02-23,11,2,5,No,Master,No,Kyiv
227,EMP0227,Female,23,Finance,Financial Analyst,16774,2016-06-27,10,1,1,No,High School,Yes,Lviv
228,EMP0228,Male,42,Operations,Coordinator,12672,2010-05-05,16,4,4,No,Master,Yes,Lviv
229,EMP0229,Male,49,Operations,Coordinator,13202,2014-07-18,12,4,4,Yes,High School,Yes,Lviv
230,EMP0230,Male,44,HR,HR Specialist,8840,2008-06-11,18,2,4,Yes,Master,No,Ternopil
231,EMP0231,Male,43,Marketing,Marketing Specialist,9266,2007-01-15,19,4,5,No,High School,No,Kyiv
232,EMP0232,Male,40,Operations,Coordinator,5416,2016-06-01,10,2,3,No,High School,No,Gdansk
233,EMP0233,Female,32,Marketing,Marketing Specialist,11473,2008-01-19,18,5,2,No,Bachelor,No,Ternopil
234,EMP0234,Male,43,IT,Data Analyst,3657,2015-12-14,10,4,2,No,Master,No,Gdansk
235,EMP0235,Female,52,Operations,Coordinator,6240,2012-08-03,13,1,5,Yes,Bachelor,No,Kyiv
236,EMP0236,Male,50,HR,HR Specialist,12767,2009-03-08,17,4,5,No,Bachelor,Yes,Ternopil
237,EMP0237,Female,55,Marketing,Marketing Specialist,7080,2009-07-12,17,4,1,No,Master,Yes,Gdansk
238,EMP0238,Male,36,HR,HR Specialist,6938,2023-12-18,2,5,3,No,High School,No,Lviv
239,EMP0239,Male,57,Marketing,Marketing Specialist,9247,2020-04-16,6,5,3,No,High School,Yes,Ternopil
240,EMP0240,Female,53,Operations,Coordinator,14629,2016-10-11,9,1,2,No,Bachelor,No,Lviv
241,EMP0241,Female,36,Operations,Coordinator,15975,2019-05-18,7,4,4,No,High School,No,Gdansk
242,EMP0242,Male,46,Finance,Financial Analyst,11947,2023-09-09,2,3,3,No,Master,No,Kyiv
243,EMP0243,Female,25,Operations,Coordinator,16536,2011-09-11,14,5,4,No,Master,Yes,Gdansk
244,EMP0244,Male,57,HR,HR Specialist,17466,2017-02-09,9,4,3,Yes,Bachelor,Yes,Gdansk
245,EMP0245,Female,21,Sales,Sales Rep,10509,2020-12-17,5,2,2,No,Bachelor,No,Kyiv
246,EMP0246,Female,31,Operations,Coordinator,4348,2018-06-19,8,4,3,No,Master,Yes,Kyiv
247,EMP0247,Male,58,Sales,Sales Rep,7205,2011-06-24,15,5,4,Yes,Bachelor,No,Kyiv
248,EMP0248,Male,45,Finance,Accountant,4963,2011-06-27,15,1,1,No,Master,No,Lviv
249,EMP0249,Male,25,Finance,Accountant,12191,2005-08-22,20,5,1,No,High School,Yes,Gdansk
250,EMP0250,Female,60,HR,HR Specialist,14748,2006-05-18,20,4,2,Yes,Bachelor,Yes,Kyiv
251,EMP0251,Female,29,Marketing,Marketing Specialist,7559,2014-12-25,11,3,1,No,High School,No,Kyiv
252,EMP0252,Male,46,Operations,Coordinator,8342,2019-11-08,6,1,2,No,Master,Yes,Lviv
